nama_media,jenis_media,penanggung_jawab,pemimpin_redaksi,badan_hukum,provinsi,alamat,telp,email,website,status,tanggal
padek.jawapos.com,Siber,Hendra Efison,Hendra Efison,Padang Multimedia Korporindo,Sumatera Barat,"Jalan Adinegoro 17-A, RT 002/RW 005, Kel. Lubuk Buaya, Kec. koto Tangah",0751481267,padekjawaposcom@gmail.com,padek.jawapos.com,Terverifikasi Administratif,2026-04-23
posbelitung.co,Siber,Teddy Malaka,Teddy Malaka,Bangka Media Grafika,Kepulauan Bangka Belitung,Jl. Gaparman No 7 RT/RW 14 Kelurahan Lesung Batang Tanjungpandan,071921033,posbelitungig@gmail.com,posbelitung.co,Terverifikasi Administratif,2026-04-23
tribunpekanbaru.com,Siber,Erwin Ardian,Erwin Ardian,Riau Media Grafika,Riau,"Jalan. H Imam Munandar No.383 RT 01 RW 04 Kel.Tangkerang Labuai, Kec.Bukit Raya, Pekanbaru 28281",076136345,keuangan.tribunpekanbaru@gmail.com,www.tribunpekanbaru.com,Terverifikasi Administratif dan Faktual,2026-04-14
Kabarrakyat.id,Siber,Hariyadi,Hariyadi,Kabar Rakyat Sentosa,Jawa Timur,"Cluster Diponegoro Land No.8 RT 014, RW 004, Dusun Krajan, Desa Glagahwero, Kecamatan Kalisat",082118745758,redkabarrakyat@gmail.com,https://kabarrakyat.id/,Terverifikasi Administratif dan Faktual,2026-04-14
tribunnews.com,Siber,Domuara Ambarita,Domuara Ambarita,Tribun Digital Online,DKI Jakarta,"Gedung Group of Regional Newspaper Kompas Gramedia, Jl Palmerah Selatan No 3, Jakarta PusatTelp. 021-5359525-23",0215483008,redaksi@tribunnews.com,www.tribunnews.com,Terverifikasi Administratif dan Faktual,2026-04-14
Majalah Tempo,Cetak,Setri Yasra,Setri Yasra,Tempo Inti Media Harian,DKI Jakarta,"Gedung Tempo Media  Jl. Palmerah Barat No.8, Grogol Utara, Kec. Kby. Lama, Kota Jakarta Selatan, 12210",0217255025,red@tempo.co.id,www.tempo.co,Terverifikasi Administratif dan Faktual,2026-04-14
TATV,Televisi,Widiyanto,Widiyanto,Televisi Terang Abadi,Jawa Tengah,"Jl. Brigjen Katamso No. 173, RT 001 RW 032, Kelurahan Mojosongo, Kecamatan Jebres, Surakarta",857678,newstatv@gmaiil.com,www.tatv.co.id,Terverifikasi Administratif dan Faktual,2026-04-14
Palembang Ekspres,Cetak,Muhammad Iqbal,Muhammad Iqbal,Citra Media Palembang Ekspres,Sumatera Selatan,"Jl Kol H Barlian No 773, Rt 01, Rw 01, Km 6,5, Kel. Karya Baru, Kec. Sukarami, Palembang",08127364937,redaksipalpres.bacakoran@gmail.com,koranpalpres.com,Terverifikasi Administratif dan Faktual,2026-04-14
Radar Banjarmasin,Cetak,M. Ramli Arisno,M. Ramli Arisno,Duta Banua Banjar,Kalimantan Selatan,"Jln A Yani Km 29,9 Rt. 006 Rw. 009 Landasan Ulin",05114706151,redaksi@radarbanjarmasin.co.id,https://radarbanjarmasin.jawapos.com/,Terverifikasi Administratif dan Faktual,2026-04-14
Spektroom.co.id,Siber,Subiyantoro,Subiyantoro,Spektroom Media Indonesia,DKI Jakarta,JLN. ANTENA VII NO.6  Kebayoran Baru,081385003330,admin@spektroom.co.id,http://www.spektroom.co.id,Terverifikasi Administratif dan Faktual,2026-03-31
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
Suara Media Nasional,Cetak,Agus Imam Santoso,Agus Imam Santoso,Media Tren Nasional,Jawa Timur,"Perumahan Kwadungan Permai, Blok E, No. 25, Desa Sambirejo, Kecamatan Gampengrejo, Kabupaten Kediri",082331999509,mediatrennasional@gmail.com,suaramedianasional.com,Terverifikasi Administratif dan Faktual,2026-04-14
suaramedianasional.com,Siber,Agus Imam Santoso,Agus Imam Santoso,Media Tren Nasional,Jawa Timur,"Perumahan Kwadungan Permai, Blok E, No. 25, Desa Sambirejo, Kecamatan Gampengrejo, Kabupaten Kediri",082331999509,wahyulugianto257@gmail.com,suaramedianasional.com,Terverifikasi Administratif dan Faktual,2026-04-14
Radar Lambar,Cetak,Haris Tiawan,Haris Tiawan,Wahana Semesta Lambar Media,Lampung,Jalan Raden Intan Kelurahan Way Mengaku Kecamatan Balikbukit Kabupaten Lampung Barat,072821649,radarlampungbarat@gmail.com,radarlambar.bacakoran.co,Terverifikasi Administratif,2026-04-14
faktacepat.id,Siber,Suswadi Ali Kosomo,Suswadi Ali Kosomo,Fakta Cepat Nusantara,Riau,"JL. JAMBU GG PUTRI RT/RW 002/008 Kel. Pangkalan Kerinci Timur, Kec. Pangkalan Kerinci, Kab. Pelalawan, Prov Riau",0895428286732,ptfaktacepatnusantara@gmail.com,faktacepat.id,Terverifikasi Administratif,2026-04-14
Mci News,Cetak,M. Aminun Jabir,M. Aminun Jabir,Cipta Pesona Media Sejahtera,Jawa Timur,"Gedung Pers Balai Wartawan A. Aziz. PWI Jawa Timur Jl. Taman Apsari No. 15- 17 , Lantai-2 Kelurahan Embong Kaliasin, Kecamatan Genteng, Kota Surabaya",081259006491,manajemen@mcinews.id,mcinews.id,Terverifikasi Administratif,2026-04-14
Koran Harian Marwah Riau,Cetak,Raja Isyam Azwar,Raja Isyam Azwar,Marwah Riau Intimedia,Riau,"Jl. Rambutan No.17, RT.1/RW.15, Sidomulyo Timur., Kec. Marpoyan Damai, Kota Pekanbaru, Riau 28125",08527863836,koranmarwahriau@gmail.com,,Terverifikasi Administratif,2026-04-14
SMTV,Televisi,Nana Sutisna Amdan,Nana Sutisna Amdan,Sumedang Televisi Utama,Jawa Barat,JL.Bandung-Cirebon No.335 RT 001/001,08112112309,sumedangtv@gmail.com,smtv.digital,Terverifikasi Administratif,2026-04-14
Sriwijaya TV,Televisi,Maulana Muhamad,Maulana Muhamad,Sriwijaya Palembang Televisi,Sumatera Selatan,Jl. Angkatan 45 Ruko no. 11-12 RT 14 RW 4 Demang Lebar Daun Ilir Barat 1,0711364344,keuangan.sriwijayatvplg@gmail.com,https://sriwijayatv.tv/,Terverifikasi Administratif,2026-04-14
TribunBanten.com,Siber,Yuli Sulistyawan,Yuli Sulistyawan,Tribun Digital Banten,Banten,"Jl. Raya Serang - Pandelang KM. 3 Karundang, BLKI, Tembong, Cipocok Jaya, Kota Serang, Banten",0215359525,tribunbanten@gmail.com,https://banten.tribunnews.com/,Terverifikasi Administratif dan Faktual,2026-03-31
Sinata.id,Siber,Leonardus Sihotang,Leonardus Sihotang,Sinar Keadilan Utama,Sumatera Utara,Jl. Pdt. Justin Sihombing Nomor 162 RT 008/RW 002 Lingkungan 1 Kelurahan Siopat Suhu Kecamatan Siantar Timur,08126482648,redaksisinata@gmail.com,www.sinata.id,Terverifikasi Administratif dan Faktual,2026-03-31
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
kepridays.co.id,Siber,Mhd. Munirul Ikhwan,Mhd. Munirul Ikhwan,Media Pratama Perkasa,Kepulauan Riau,"Jalan Ganet Perum Dutama Paragon Residence Blok E Nomor 3, RT/RW 002/004 Kelurahan Pinang Kencana Kecamatan Tanjungpinang Timur, Kota Tanjungpinang, Provinsi Kepulauan Riau, Negara Indonesia.",085363839722,kepri.days@gmail.com,Kepridays.co.id,Terverifikasi Administratif dan Faktual,2026-03-31
Gerbang Nusantara,Cetak,Meydia Hendra Yani,Meydia Hendra Yani,Sri Gerbang Adi Jaya,Kepulauan Riau,Jl. Batu 13 Arah Uban Perum Villa Vista Blok E No. 11 Kelurahan Pinang Kencana Kecamatan Tanjungpinang Timur,081364707001,gerbang.nusantara@ymail.com,-,Terverifikasi Administratif dan Faktual,2026-03-31
Radar Jember,Cetak,MS Rasyid,MS Rasyid,Jember Intermedia Pers,Jawa Timur,JL A Yani 99 RT 001 RW 010 Lingk Temba'an Kelurahan Kepatihan Kecamatan Kaliwates Kabupaten Jember,0331483545,cho@jawapos.co.id,jawapos.radarjember.com,Terverifikasi Administratif dan Faktual,2026-03-31
Suara NTB,Cetak,Marham,Marham,Suara Ntb Pers,Nusa Tenggara Barat,"Jl. Bangau No. 15 Cakranegara, Mataram Lombok - NTB",081805211818,adm.sntb@gmail.com,www.suarantb.com,Terverifikasi Administratif dan Faktual,2026-03-31
suarantb.com,Siber,Marham,Marham,Suara Ntb Pers,Nusa Tenggara Barat,Jl. Bangau No.15 Cakranegara,081805211818,suarantbcom@gmail.com,www.suarantb.com,Terverifikasi Administratif dan Faktual,2026-03-31
TVMu,Televisi,Arina Nurrohmah,Arina Nurrohmah,Tvmu Surya Utama,DKI Jakarta,"Jl. Menteng Raya No.62, RT.3/RW.9, Kebon Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",02131928016,lensatvmu@gmail.com,www.tvmu.tv,Terverifikasi Administratif dan Faktual,2026-03-31
Madu TV Nusantara,Televisi,Kanti Wiyoto,Kanti Wiyoto,Madinul Ulum Media Televisi Ummat,Jawa Timur,"Jln. Raya Sukomakmur no. 73 Campurdarat Rt. 01 Rw 01 Kel. Campurdarat, Kec. Campurdarat, Kab. Tulungagung",85200209998,madutvoffice@gmail.com,www.madu.tv,Terverifikasi Administratif dan Faktual,2026-03-11
radarmalang.jawapos.com,Siber,Bayu Mulya Putra,Bayu Mulya Putra,Malang Intermedia Pers,Jawa Timur,"Jl Sunandar Priyo Utomo No. 26, Purwantoro, Blimbing, Kota Malang",03414390099,online@radarmalang.id,https://radarmalang.jawapos.com,Terverifikasi Administratif dan Faktual,2026-03-11
Viva.co.id,Siber,Ecep Suwardani Yasa,Ecep Suwardani Yasa,Viva Media Baru,DKI Jakarta,"The Convergance Indonesia Building, 28th Floor Kawasan Rasuna Epicentrum, JL. H. R. Rasuna Said, Jakarta Selatan.",0214601326,redaksi@viva.co.id,Viva.co.id,Terverifikasi Administratif dan Faktual,2026-03-11
Lampung Post,Cetak,Abdul Gafur,Abdul Gafur,Masa Kini Mandiri,Lampung,"Jl. Soekarno-Hatta No. 108 RT 002 RW 001 Hajimena, Natar",0721783693,masakinimandiri.pt@gmail.com,www.lampost.co,Terverifikasi Administratif dan Faktual,2026-03-11
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
Tribun Medan,Cetak,T. Agus Khaidir,T. Agus Khaidir,Harian Tribun Medan,Sumatera Utara,"Jalan Kiai Haji Wahid Hasyim Nomor 37, Babura, Medan Baru, Kota Medan, Sumatera Utara 20154",0614574222,medan.tribunnews@gmail.com,https://medan.tribunnews.com/,Terverifikasi Administratif dan Faktual,2026-03-11
beritajatim.com,Siber,Dwi Eko Lokononto,Dwi Eko Lokononto,Beritajatim Cyber Media,Jawa Timur,Jl. Kutisari IX No 2A RT 008 RW 005 Kelurahan Siwalankerto Kecamatan Wonocolo,03199856100,beritajatim@gmail.com,www.beritajatim.com,Terverifikasi Administratif dan Faktual,2026-03-11
Majalah MIX,Cetak,Lis Hendriani,Lis Hendriani,Penerbit Swamedia Internasional,DKI Jakarta,Jl Taman Tanah Abang III No. 23 Petojo Selatan Gambir,3523839,mix@swamail.com,https://mix.co.id,Terverifikasi Administratif dan Faktual,2026-03-11
Majalah SWA,Cetak,Kusnan MD,Kusnan MD,Penerbit Swasembada Media,DKI Jakarta,Jl Taman Tanah Abang III No. 23 Petojo Selatan Gambir,0213523839,secretary.swa@swamail.com,https://swa.co.id,Terverifikasi Administratif dan Faktual,2026-03-11
tabengan.co.id,Siber,Dody Khairi,Dody khairi,Alna Bersama Media,Kalimantan Tengah,"Jl. Adonis Samad Km. 3, No. 90, RT 003/RW 010, Kec. Pahandut, Kel. Panarung.",05364200258,tabenganinfo@gmail.com,https://www.tabengan.co.id,Terverifikasi Administratif,2026-03-11
Kandidat,Cetak,Abung mamasa,Abung mamasa,Resonansi Media Lampung,Lampung,"Perum BKP Blok M No 187A, Kelurahan Kemiling Permai,Kecamatan Kemiling, Kota Bandar Lampung",089616825446,redaksikandidat44@gmail.com,,Terverifikasi Administratif,2026-03-11
wartalentera.com,Siber,Tumpak Sidabutar,Tumpak Sidabutar,Lentera Indonesia Press,Banten,Madison Grande K/83 Gading Serpong,08128167249,wartalentera.info@gmail.com,www.wartalentera.com,Terverifikasi Administratif,2026-03-11
KomparasiNews.id,Siber,Hasan,Hasan,Komparasi Media Indonesia,Kalimantan Timur,"Jalan Danau Jempang Nomor 35, RT 23, Kelurahan Melayu, Kecamatan Tenggarong",081258754206,redaksikomparasinews@gmail.com,Komparasinews.id,Terverifikasi Administratif,2026-03-11
kabarpublik.id,Siber,Achmad Rizal,Achmad Rizal,Mediaku Kabar Publik,DKI Jakarta,"Jalan Cipinang Jaya Raya No 17, Jatinegara, Jakarta Timur",085285537879,info.kabarpublik.id@gmail.com,kabarpublik.id,Terverifikasi Administratif,2026-03-11
waspadaaceh.com,Siber,Muhammad Hamzah,H. Prabudi Said,Waspada Aceh Indonesia,Aceh,"Jl. Sri Ratu Safiatuddin No. 55, Peunayong, Kuta Ala",081360260710,maskurabdullah@gmail.com,www.waspadaaceh.com,Terverifikasi Administratif dan Faktual,2026-02-27
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
Top Metro,Cetak,Raja Pardomuan Simbolon,Raja Pardomuan Simbolon,Top Metro Media,Sumatera Utara,Jl. Denai / Rawa NO. 221 B-C Tegal Sari Mandala II 20226,081370206042,korantopmetro109@gmail.com,www.topmetro.news,Terverifikasi Administratif dan Faktual,2026-02-27
topmetro.news,Siber,Raja Pardomuan Simbolon,Raja Pardomuan Simbolon,Persada Lintas Media Medan,Sumatera Utara,"JL. Denai/Rawa NO.221 B-C Tegal Sari Mandala II, Medan Denai, Medan",082166376011,persadalintasmediamedan@gmail.com,topmetro.news,Terverifikasi Administratif dan Faktual,2026-02-27
Bengkuluekspress.com,Siber,Rajman Azhar,Rajman Azhar,Media Online Bengkulu,Bengkulu,"Graha pena bengkulu ekspress lt.iii, jl. Jati No.129, padang jati, bengkulu",082374475577,bengkuluekspressdotcom@gmail.com,bekspress@gmail.com,Terverifikasi Administratif dan Faktual,2026-02-27
iNews,Televisi,Aiman Adi Witjaksono,Aiman Adi Witjaksono,Visi Citra Mitra Mulia,DKI Jakarta,"MNC Center, Jalan Kebon Sirih Raya No. 17-19, Kebon Sirih, Jakarta Pusat",082123567600,corsec.inewstv@mncgroup.com,www.inews.id,Terverifikasi Administratif dan Faktual,2026-03-06
Posmetro Rohil,Cetak,Arif Rahman,Arif Rahman,Rohil Intergrafika Pers,Riau,"Jalan KH Ahmad Dahlan No 14 C RT 05 RW 04 Kel. Sukajadi, Kec. Sukajadi, Kota Pekanbaru",08126805703,rohilposmetro22@gmail.com,posmetrorohil.com,Terverifikasi Administratif dan Faktual,2026-02-27
Panji Kepri,Cetak,Muhammad Natsid Tahar,Muhammad Natsid Tahar,Trinanda Bayo Media,Kepulauan Riau,"Ruko Glory View II Blok C Nomor 10, RT 008 RW 004, Kelurahan Baloi Permai, Kecamatan Batam Kota",07784806376,panjikepri3@gmail.com,-,Terverifikasi Administratif dan Faktual,2026-02-27
Jambi Independent,Cetak,Surya Elviza,Surya Elviza,Jambi Independent Press,Jambi,"Gedung Graha Pena Jambi Independent, Jln Jenderal Sudirman, RT 32, Kelurahan Tambak Sari, Kecamatan Jambi Selatan, Kota Jambi.",074135272,indejambi@gmail.com,,Terverifikasi Administratif dan Faktual,2026-02-27
Bandung TV,Televisi,H. Us Tiarsa R.,H. Us Tiarsa R.,Bandung Media Televisi Indonesia,Jawa Barat,Jl. Pacuan Kuda No 63 Arcamanik,0227213862,redaksi@bandungtv.tv,Bandungtv.tv,Terverifikasi Administratif dan Faktual,2026-02-27
Inews.id,Siber,Aiman Adi Witjaksono,Aiman Adi Witjaksono,Inews Digital Indonesia,DKI Jakarta,Jl. Kebon Sirih No. 17-19 Jakarta Pusat 10340 Indonesia.,0213924706,portalinewsdotid@gmail.com,https://www.inews.id/,Terverifikasi Administratif dan Faktual,2026-02-27
Jambi TV,Televisi,Mukhtadi P,Mukhtadi P,Jambi Televisi,Jambi,Jl. Pattimura No 35 D Km 8 RT 16 RW 00 Kelurahan Kenali Besar Kecamatan Alam Barajo Kota Jambi,07415910911,redaksijambitv@gmail.com,,Terverifikasi Administratif,2026-02-27
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
ManadoPost.id,Siber,Tommy Thomas Waworundeng,Anita Angel Rumeen,Manado Multi Media,Sulawesi Utara,"Gedung Graha Pena Manado Jl, Babe Palar No 62 Manado , Lingkungan II Kel. Wanea , Kec Wanea",0431855558,redaksimanadopost@gmail.com,https://manadopost.jawapos.com,Terverifikasi Administratif,2026-02-27
taktiknews.com,Siber,Davit Segara,Davit Segara,Taktik Media Kolaborasi,Riau,"Jl. Sentosa Perum Alifa, Blok R No. 08, Sudimuliyo Barat, Tuah Madani",085265736501,pt.taktikmediakolaborasi@gmail.com,taktiknews.com,Terverifikasi Administratif,2026-02-27
Batam Televisi,Televisi,Sofyan Hendra Fatkhurohman,Sofyan Hendra Fatkhurohman,Batam Multimedia Televisi,Kepulauan Riau,"Gedung Graha Pena Batam Lantai 9, Jl. Raya Batam Centre, Batam, Kepulauan Riau",0778465666,redaksibatamtelevisi@gmail.com,,Terverifikasi Administratif,2026-02-27
Enewsindo.co.id,Siber,H. Abdul Muis Masduki,H. Abdul Muis Masduki,Eve Media Indonesia,Jawa Timur,"Jl. Parang Tritis, Mahkota Raya Rengganis, D3 - 29 Jember, Jawa Timur",081336448999,enewsindo.official@gmail.com,https://enewsindo.co.id/,Terverifikasi Administratif,2026-02-27
argoterkini.com,Siber,Indra Maulid,Indra Maulid,Argo Putra Negeri,Riau,Jl. Dahlia No. 53 RT 001 RW 004 Kel. Sukajadi Kec. Sukajadi,081211434366,official.argoterkini@gmail.com,https://www.argoterkini.com/,Terverifikasi Administratif,2026-02-27
harianupdate.com,Siber,Bowonaso Laia,Bowonaso Laia,Siaran Harian Pers,Riau,"Jl. Sentosa Perum Alifa Blok R Nomor. 08 Rt. 001. Rw. 021, Sindomulyo Barat, Tuahmadani",085176992395,Harianupdate25@gmail.com,www.harianupdate.com,Terverifikasi Administratif,2026-02-27
serayunusantara.com,Siber,Hamzah Abdillah,Hamzah Abdillah,Serayu Media Group,Jawa Timur,"Perumahan Kenari Asri blok O / 40, Kelurahan Karang Tengah, Kecamatan Sananwetan",081229071572,serayunusantara2@gmail.com,serayunusantara.com,Terverifikasi Administratif dan Faktual,2026-02-18
Pojoksatu.id,Siber,Muhammad Ridwan,Muhammad Ridwan,Pojok Satu Indonesia,Jawa Barat,"Jl KHR Abdullah bin M Nuh No 30 Rt/Rw 002/003 Kel. Curug Mekar Kec.Bogor Kota Bogor, Jawa Barat",02517544006,redaksi@pojoksatu.id,pojoksatu.id,Terverifikasi Administratif dan Faktual,2026-01-27
CentralNews.id,Siber,Zabur Anjasfianto,Zabur Anjasfianto,Sentral Media Batam,Kepulauan Riau,"Tiban Palem blok A-1 No. 8, RT02 RW08 Kelurahan Tiban Baru, Kecamatan Sekupang, Kota Batam",081266066880,anjasfianto@gmail.com,https://centralnews.id/,Terverifikasi Administratif dan Faktual,2026-01-27
imcnews.id,Siber,Ari Widodo,Ari Widodo,Tamarona Media Sarana,Jambi,"Jl. Pangeran Hidayat, Perumahan Taman Adipura Indah, RT.17 Kel. Suka Karya, Kec. Kota Baru, Kota Jambi, 36127",085367428910,red.imcnews@gmail.com,https://www.imcnews.id,Terverifikasi Administratif dan Faktual,2026-01-27
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
iniriau.com,Siber,Luna Agustin,Luna Agustin,Ini Riau Mediatama,Riau,"Jl. Putri Indah Perumahan Sudirman Indah Blok A/3, Pekanbaru",082181934100,redaksiiniriau@gmail.com,http://www.iniriau.com/,Terverifikasi Administratif dan Faktual,2026-01-27
riauonline.co.id,Siber,Ilham Muhammad Yasir,Ilham Muhammad Yasir,Riau Sinergi Multimedia,Riau,"Jalan Semangka No 51 Rt 05 Rw 02 Kelurahan Kampung Tengah Kecamatan Sukajadi, Pekanbaru, Riau.",081371153088,riauonline.info@gmail.com,http://www.riauonline.co.id/,Terverifikasi Administratif dan Faktual,2026-01-27
Tribun Manado,Cetak,Jumadi Mappanganro,Jumadi Mappanganro,Manado Media Grafika,Sulawesi Utara,Gedung Tribun Manado. Jalan Mr. A.A Maramis Kelurahan Kairagi Dua Kecamatan Mapanget Kota Manado 95254,08114306010,tribunmanado@tribunnews.com,manado.tribunnews.com atau tribunmanado.co.id,Terverifikasi Administratif dan Faktual,2026-01-27
tribunmanado.co.id,Siber,Jumadi Mappanganro,Jumadi Mappanganro,Manado Media Grafika,Sulawesi Utara,Gedung Tribun Manado Jalan A.A. Maramis Kelurahan Kairagi Dua Kecamatan Mapanget Kota Manado 95254,08114306010,tribunmanadoonline@gmail.com,manado.tribunnews.com atau tribunmanado.co.id atau tribunmanado.com,Terverifikasi Administratif dan Faktual,2026-01-27
linggaupos.co.id,Siber,Endang Kusmadi,Endang Kusmadi,Wahana Linggau Media,Sumatera Selatan,Lantai Dasar Graha Pena Linggau Jalan Yos Sudarso No.4 RT.1 Kelurahan Watervang,085368822218,online.linggaupos@gmail.com,linggaupos.disway.id,Terverifikasi Administratif dan Faktual,2026-01-27
radartegal.com,Siber,Zuhlifar Arrisandy,Zuhlifar Arrisandy,Wahana Semesta Multimedia Tegal,Jawa Tengah,"Jl. Perintis Kemerdekaan No. 32  RT 10 RW 06 Panggung, Tegal Timur Kota Tegal",0283340900,radartegalnews@gmail.com,https://radartegal.com/,Terverifikasi Administratif dan Faktual,2026-01-27
timesindonesia.co.id,Siber,Yatimul Ainun,Yatimul Ainun,Dawai Citra Semesta,Jawa Timur,"Jl. Ijen No. 90-92, RT. 006, RW.005, Kelurahan Oro-oro Dowo, Kecamatan Klojen, Kota Malang, Jawa Timur",0341563566,redaksi@timesindonesia.co.id,www.timesindonesia.co.id,Terverifikasi Administratif dan Faktual,2026-01-27
jakartanews.id,Siber,Naek Pangaribuan,Naek Pangaribuan,Jakarta News Pers,DKI Jakarta,"Jl. Tanjung Barat Selatan No. 119 RT 02 RW 02, Jakarta Selatan, 12630",08159378588,jakartanewspers@gmail.com,https://jakartanews.id/,Terverifikasi Administratif dan Faktual,2026-01-27
Sumut Pos,Cetak,Asih Astuti,Asih Astuti,Media Medan Pers,Sumatera Utara,"Jalan Sisingamangaraja km 8,5 no. 134, rt/rw 000/000, medan timbang deli, medan amplas",7877012,debbyfebriany9@gmail.com,sumutpos.jawapos.com,Terverifikasi Administratif dan Faktual,2026-01-27
Posmetro,Cetak,Edy Sabara,Edy Sabara,Batam Bintana Pers,Kepulauan Riau,"Komplek Mega Lagenda Blok A1 No 26 RT/05 RT 06 Kel. Baloi Permai, Kec. Batam Kota, Kota Batam, Kepulauan Riau",07784807464,redaksiposmetrobatam@gmail.com,posmetrobatam.co,Terverifikasi Administratif dan Faktual,2026-01-27
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
Majalah Arung,Cetak,Nasrullah,Nasrullah,Arung Media Fazar Utama,Sumatera Selatan,"Jalan Letkol Iskandar No. 16.A Lt. 3 Rt.08 Rw.02, Kelurahan 24 Ilir, Kecamatan Bukit Kecil Kota Palembang . Sumatera Selatan. Kode Pos. 30134",08117101399,arungnews@gmail.com,www.arungmedia.com,Terverifikasi Administratif dan Faktual,2026-01-27
Tabengan,Cetak,Dody Khairi,Dody Khairi,Media Bersama,Kalimantan Tengah,"Jl. Adonis Samad, Km. 3, No. 90, RT 003/ RW 010, Kelurahan Panarung, Kecamatan Pahandut",05364200258,hariantabengan@gmail.com,,Terverifikasi Administratif dan Faktual,2026-01-27
Posmetro.co,Siber,Rinaldy,Rinaldy,Batam Metro Media,Kepulauan Riau,"Komplek Mega Lagenda Blok A1 No 26 RT/05 RT 06 Kel. Baloi Permai, Kec. Batam Kota, Kota Batam, Kepulauan Riau",07784807464,posmetroco@gmail.com,www.posmetro.co,Terverifikasi Administratif dan Faktual,2026-01-27
